table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable,COLUMN_COMMENT
ah_postgres,public,tags,tag,1,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,tags,resource_id,2,,YES,BIGINT,,,64,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,id,1,,YES,BIGINT,,,64,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,ah_id,2,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,title,3,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,dataprovider,4,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,species,5,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,taxonomyid,6,,YES,BIGINT,,,64,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,genome,7,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,description,8,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,coordinate_1_based,9,,YES,BIGINT,,,64,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,maintainer,10,,YES,VARCHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah_postgres,public,resources,status_id,11,,YES,BIGINT,,,64,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
